LDN,Elev,GDP,Nt,Pop,Pre,Tem
1,0.367651,0.0018062,0,0.0000802,0.286334,0.718614
1,0.208019,0.001064,0,0.0003043,0.406507,0.890373
0,0.337052,0.0019138,0,0.0005138,0.277357,0.733427
-1,0.291227,0.02083,0.173016,0.0038186,0.325037,0.777656
1,0.229273,0.0008159,0,0.0010196,0.57538,0.882978
1,0.344438,0.0031826,0,0.0007275,0.323393,0.740333
1,0.418149,0.0016887,0,0.0001455,0.342461,0.648144
1,0.306452,0.0116959,0,0.0001751,0.306717,0.781915
1,0.260175,0.0008074,0,0.0005525,0.547046,0.848426
1,0.121495,0.0013032,0,0.000624,0.571051,0.9479
1,0.251131,0.0080299,0,0.0005616,0.316554,0.830235
-1,0.343835,0.0016437,0,0.00011,0.300032,0.728984
1,0.244347,0.0012361,0,0.0005416,0.540501,0.862166
1,0.247362,0.0035309,0.015873,0.0012273,0.494473,0.823132
1,0.27962,0.0080621,0,0.0008255,0.425701,0.84524
1,0.19174,0.004272,0,0.0000274,0.526772,0.898292
1,0.272083,0.0041998,0,0.0002706,0.35746,0.822948
1,0.201387,0.0042398,0.104762,0.0011289,0.389079,0.868497
1,0.315044,0.00727,0,0.0005267,0.29121,0.768674
1,0.278414,0.001882,0,0.0007904,0.472309,0.808171
1,0.320923,0.0025375,0,0.0009126,0.39793,0.784457
1,0.307959,0.0029405,0,0.0006584,0.277087,0.79022
1,0.273289,0.003329,0,0.0003678,0.478751,0.817184
1,0.2858,0.0057961,0.496825,0.0115561,0.291514,0.801692
1,0.398251,0.0013843,0,0.0004549,0.393332,0.704426
0,0.0966235,0.0023192,0,0.0008075,0.529176,0.953665
1,0.311426,0.0029663,0,0.0002934,0.298284,0.803927
1,0.247965,0.0023131,0.0301587,0.0008044,0.346628,0.842868
1,0.171541,0.0035225,0.0888889,0.0051099,0.432411,0.918696
1,0.230781,0.0033194,0,0.0002575,0.272188,0.891913
1,0.322581,0.0037173,0,0.0023068,0.327589,0.792674
1,0.341121,0.0097031,0,0.0002853,0.332117,0.736657
